"","gene_name","gene_id","rpm"
"145","Nedd4","FBgn0259174",20
"146","Mlp60A","FBgn0259209",141.666666666667
"147","CG42319","FBgn0259219",21
"148","C3G","FBgn0259228",10.1
"149","Pka-R1","FBgn0259243",106.766666666667
"150","crb","FBgn0259685",13.4
"151","tal-1A","FBgn0259730",39.9666666666667
"152","tal-2A","FBgn0259731",39.9666666666667
"153","tal-3A","FBgn0259732",39.9666666666667
"154","tal-AA","FBgn0259733",39.9666666666667
"155","flr","FBgn0260049",25.8666666666667
"156","rhea","FBgn0260442",92.1333333333333
"157","p120ctn","FBgn0260799",87
"158","capt","FBgn0261458",144.333333333333
"159","kug","FBgn0261574",13.6
"160","pico","FBgn0261811",50.6
"161","Bsg","FBgn0261822",918.6
"162","Msp300","FBgn0261836",535.7
"163","Gprk2","FBgn0261988",20.4333333333333
"164","Arp3","FBgn0262716",27.0333333333333
"165","Src64B","FBgn0262733",32.6666666666667
"166","hts","FBgn0263391",114.9
"167","CG43658","FBgn0263706",74.5
"168","sick","FBgn0263873",7.7
"169","jvl","FBgn0263929",22.4
"170","spoon","FBgn0263987",83.6
"171","CG43897","FBgn0264489",299.966666666667
"172","how","FBgn0264491",359.033333333333
"173","Mhc","FBgn0264695",265.233333333333
"174","Src42A","FBgn0264959",4.96666666666667
"175","tn","FBgn0265356",52.5666666666667
"176","zip","FBgn0265434",258.866666666667
"177","coro","FBgn0265935",122.566666666667
"178","Zasp52","FBgn0265991",159.133333333333
"179","Fhos","FBgn0266084",42.8333333333333
"180","Svil","FBgn0266696",50.4666666666667
"181","btsz","FBgn0266756",8.3
"182","sau","FBgn0267378",158.1
"183","Myo81F","FBgn0267431",10.7
"184","Frl","FBgn0267795",25.5666666666667
"185","vib","FBgn0267975",11.8333333333333
"186","wupA","FBgn0283471",473.933333333333
"187","tyn","FBgn0284435",13.4
"188","cv-c","FBgn0285955",29.5333333333333
